Sentence_ID,Text,Guna_Majority,valence,arousal,dominance,matched_words,total_words
59,"My doctor told me my blood pressure is too high, and that was a wake-up call.",Rajas,0.05399999999999999,0.128,0.171,12,17
60,I'm desperate to break free from this heaviness and rediscover joy in my life.,Rajas,0.21063636363636362,0.16881818181818184,0.08454545454545455,11,15
61,"I've been using the breathing exercises you taught me, and it helps me get through the stressful moments.",Sattva,0.059142857142857164,-0.0010000000000000167,0.08371428571428573,7,19
62,I'd like to work on addressing this pattern and learning to face challenges head-on.,Sattva,0.14183333333333334,-0.066,0.0835,12,16
63,I often wonder what the point of it all is.,Tamas,0.12125,-0.036499999999999984,0.08562499999999999,8,10
65,"Stress seems to consume me, and I struggle to relax or enjoy activities I used to love.",Tamas,0.17275,0.2051666666666667,0.04375000000000001,12,17
67,"Part of me wants to change, but another part of me is terrified of what that means.",Rajas,0.01514285714285715,-0.027357142857142858,-0.043285714285714295,14,17
68,"I've set a goal to walk 10,000 steps a day, and I've hit it every day this week.",Rajas,0.11466666666666665,-0.13175,-0.011666666666666657,12,19
70,I realized that drinking was my way of avoiding dealing with my problems.,Rajas,0.1282222222222222,-0.16766666666666669,-0.042111111111111106,9,13
71,It's isolating and frustrating to experience these emotions daily.,Tamas,0.006285714285714283,0.0057142857142857195,0.040571428571428585,7,10
73,"I've been having intrusive thoughts about my past, and I can't seem to shake them off.",Tamas,0.03541666666666667,-0.09833333333333334,-0.03741666666666666,12,18
74,"Even mundane tasks become overwhelming, and it feels as though a heavy cloud is constantly hanging over me.",Tamas,-0.032769230769230766,-0.026230769230769228,0.10023076923076922,13,18
75,"Each day feels like a struggle to get out of bed, and I constantly question my worth and purpose in life.",Tamas,0.24656250000000002,-0.021000000000000005,0.15925,16,21
78,I want to find healing from this trauma and reclaim control over my life.,Sattva,0.15383333333333335,0.10841666666666665,0.22158333333333335,12,14
80,I don't want to be one of those people who needs a drink to get through the day.,Sattva,0.19107692307692312,-0.07930769230769232,0.053692307692307706,13,19
85,"I've started cooking at home instead of getting takeout, and it's been nice.",Sattva,0.22972727272727275,-0.11663636363636364,-0.023818181818181825,11,15
86,"I want to believe I can change, but I've failed so many times before.",Rajas,0.17750000000000002,-0.10075,0.03975000000000001,8,15
88,"I constantly feel overwhelmed, exhausted, and on edge.",Tamas,-0.037714285714285735,0.06742857142857142,-0.04514285714285713,7,8
89,"Quitting smoking is the hardest thing I've ever done, but I'm still trying.",Rajas,-0.186375,-0.1175,-0.2035,8,15
92,I've been putting off making changes because I keep waiting for the perfect time.,Tamas,0.12037499999999998,-0.255125,0.06649999999999999,8,15
93,"I've been feeling increasingly isolated, and I can't seem to connect with my colleagues or build meaningful relationships.",Tamas,0.16818181818181818,-0.2109090909090909,0.03309090909090909,11,20
94,"I've started meditating for ten minutes every morning, and it's made a difference.",Sattva,0.11374999999999999,-0.149375,-0.03874999999999999,8,15
95,How can I break this cycle and promote reconciliation among family members?,Sattva,0.3306,-0.11479999999999999,0.1176,10,12
96,I don't know if I have what it takes to actually make this change.,Tamas,0.17763636363636365,-0.07618181818181818,0.10636363636363635,11,15
97,"I've been sober for two weeks, and I'm sleeping better than I have in years.",Sattva,0.2782222222222222,-0.36322222222222217,0.05422222222222222,9,17
98,I constantly worry about the future and catastrophize every situation.,Tamas,0.10900000000000003,0.12266666666666666,0.11766666666666666,6,10
100,I plan to focus on the present moment and practice mindfulness techniques to help me stay grounded and focused.,Sattva,0.19785714285714287,-0.041857142857142864,0.1315714285714286,14,19
102,"My thoughts often turn negative, and it's hard to find motivation or energy to do anything.",Tamas,0.13971428571428574,0.07057142857142856,0.09571428571428571,14,17
103,"I know all the reasons why I should change, but knowing isn't the same as doing.",Tamas,0.15090000000000003,-0.031199999999999995,0.16309999999999997,10,17
104,"My wife keeps nagging me about my drinking, but she doesn't understand how hard my job is.",Tamas,0.06736363636363636,0.0991818181818182,0.04663636363636365,11,18
105,"I finally told my family about my struggles, and their support means everything.",Rajas,0.20644444444444446,-0.10355555555555555,0.064,9,13
106,"I want to lose weight, but I just can't seem to stick to any diet.",Rajas,0.0015000000000000013,-0.11316666666666668,-0.059166666666666666,12,16
108,"I don't know if I have the energy to put into making friends, especially when I've failed at it so many times before.",Tamas,0.2042666666666667,-0.08719999999999999,0.10946666666666667,15,25
109,The hardest part is the evenings when I'm alone and bored.,Tamas,-0.17657142857142857,-0.198,-0.20114285714285712,7,12
110,"I aspire to make our manual approachable, fostering a sense of comfort and ease.",Sattva,0.40558333333333335,-0.13358333333333333,0.09925,12,14
112,I don't want to get stuck in a routine where I'm only focused on caregiving and neglecting my own needs.,Sattva,0.03838461538461538,-0.047384615384615386,-0.03184615384615384,13,22
113,The effort required to fix these issues feels insurmountable.,Tamas,0.22033333333333335,0.15066666666666667,0.27133333333333337,6,9
114,"I can't seem to find any meaning or motivation in my routine, and it's leaving me feeling lost and disconnected.",Tamas,0.03321428571428572,-0.09414285714285715,-0.089,14,22
115,I can't help but feel like I'm failing as a wife and mother when I can't provide him with a home-cooked meal.,Tamas,0.291764705882353,-0.068,0.026647058823529406,17,26
116,"Deep down, I feel absolutely empty. It's as if all emotions have been drained from me, leaving behind an overwhelming sense of nothingness.",Tamas,-0.07989473684210525,-0.1464736842105263,-0.025368421052631575,19,24
119,Even getting out of bed requires an immense effort.,Tamas,0.21350000000000002,0.17816666666666667,0.12833333333333333,6,9
120,I can't help but worry about my partner and how they're doing.,Rajas,0.05622222222222221,-0.02022222222222222,-0.018888888888888893,9,14
122,I'm struggling to move on. It's been hard for me to let go of the relationship and accept that it's over.,Tamas,0.07164705882352941,-0.06541176470588236,0.06747058823529412,17,24
123,"I constantly feel tired and drained, both physically and emotionally.",Tamas,-0.013555555555555567,0.01833333333333333,-0.06166666666666666,9,10
124,"I slipped up last weekend, but instead of giving up, I got back on track Monday.",Rajas,0.11215384615384613,0.12815384615384617,-0.02246153846153846,13,16
125,I hope to achieve a sense of calmness and control through this counseling session.,Rajas,0.3106666666666667,-0.13566666666666669,0.17575000000000005,12,14
127,I'm taking it one day at a time. That's all I can do.,Sattva,0.1548888888888889,-0.18788888888888888,0.013666666666666659,9,15
128,"I know I should quit smoking, but honestly, I'm not sure I really want to.",Tamas,0.18344444444444444,-0.024111111111111118,0.207,9,16
129,I don't think I'm ready to quit completely. Maybe I can just cut back.,Tamas,0.23745454545454542,-0.109,0.07045454545454545,11,16
133,I hope to gain a better understanding of why intimacy feels so scary for me and learn ways to overcome this fear.,Sattva,0.21529411764705883,0.1902941176470588,0.17247058823529413,17,22
136,"I've cut down from a pack a day to just five cigarettes. That's progress, right?",Rajas,0.1471818181818182,-0.14736363636363636,0.030545454545454546,11,17
137,I feel like I'm losing control.,Tamas,0.16300000000000003,-0.0034999999999999892,0.03649999999999999,4,7
138,"I've always been a go-getter, and I take pride in my ability to adapt to new environments quickly.",Rajas,0.32308333333333333,0.006166666666666672,0.11508333333333332,12,20
139,"The fear of making the wrong choice consumed me, leading to sleepless nights and constant second-guessing.",Tamas,-0.0730909090909091,0.06745454545454549,-0.03681818181818181,11,17
140,"I've always been the one to take care of everyone else, and I don't want to be a burden.",Rajas,0.15835714285714286,-0.118,0.04114285714285715,14,21
142,"Thoughts about meeting unreasonable deadlines, making mistakes, and receiving criticism consume me throughout the day.",Tamas,-0.0067272727272727284,0.07236363636363637,-0.005636363636363634,11,15
144,I'm deeply concerned that my grief will prevent me from returning to work soon.,Tamas,-0.01911111111111111,0.068,0.09000000000000001,9,15
145,I find it challenging to let people get close to me emotionally.,Rajas,0.07488888888888888,-0.048555555555555546,-0.061777777777777786,9,12
146,"I've noticed that when I exercise in the morning, I feel more focused throughout the day.",Sattva,0.2798888888888889,0.013777777777777759,0.11966666666666666,9,17
147,"Some days I feel really motivated, and other days I just think, why bother?",Rajas,0.20366666666666663,0.15722222222222224,0.09799999999999999,9,14
148,"I've been clean for six months now. It hasn't been easy, but I'm proud of myself.",Rajas,0.18630769230769229,-0.2629230769230769,0.024307692307692304,13,19
149,"When I get stressed, I just automatically reach for a cigarette. I don't even think about it.",Tamas,0.09866666666666664,0.081,0.1709166666666667,12,18
150,Everything feels dull and meaningless.,Tamas,-0.32499999999999996,-0.28300000000000003,-0.33599999999999997,4,5
