Sentence_ID,Sentence_Text,Annotator,Label,Confidence
59,"My doctor told me my blood pressure is too high, and that was a wake-up call.",Sunny,Rajas,Medium
60,I'm desperate to break free from this heaviness and rediscover joy in my life.,Apoorva,Tamas,High
60,I'm desperate to break free from this heaviness and rediscover joy in my life.,Nidhi,Sattva,Medium
60,I'm desperate to break free from this heaviness and rediscover joy in my life.,Sunny,Rajas,Medium
61,"I've been using the breathing exercises you taught me, and it helps me get through the stressful moments.",Apoorva,Sattva,Medium
61,"I've been using the breathing exercises you taught me, and it helps me get through the stressful moments.",Nidhi,Sattva,Medium
61,"I've been using the breathing exercises you taught me, and it helps me get through the stressful moments.",Sunny,Sattva,High
62,I'd like to work on addressing this pattern and learning to face challenges head-on.,Apoorva,Sattva,Medium
62,I'd like to work on addressing this pattern and learning to face challenges head-on.,Nidhi,Sattva,High
62,I'd like to work on addressing this pattern and learning to face challenges head-on.,Sunny,Sattva,High
63,I often wonder what the point of it all is.,Apoorva,Tamas,High
63,I often wonder what the point of it all is.,Nidhi,Rajas,Medium
63,I often wonder what the point of it all is.,Sunny,Tamas,Low
65,"Stress seems to consume me, and I struggle to relax or enjoy activities I used to love.",Apoorva,Tamas,High
65,"Stress seems to consume me, and I struggle to relax or enjoy activities I used to love.",Nidhi,Tamas,High
65,"Stress seems to consume me, and I struggle to relax or enjoy activities I used to love.",Sunny,Tamas,Medium
67,"Part of me wants to change, but another part of me is terrified of what that means.",Apoorva,Tamas,High
67,"Part of me wants to change, but another part of me is terrified of what that means.",Nidhi,Rajas,High
67,"Part of me wants to change, but another part of me is terrified of what that means.",Sunny,Rajas,Medium
68,"I've set a goal to walk 10,000 steps a day, and I've hit it every day this week.",Apoorva,Rajas,High
68,"I've set a goal to walk 10,000 steps a day, and I've hit it every day this week.",Nidhi,Sattva,High
68,"I've set a goal to walk 10,000 steps a day, and I've hit it every day this week.",Sunny,Rajas,Medium
70,I realized that drinking was my way of avoiding dealing with my problems.,Apoorva,Rajas,Medium
70,I realized that drinking was my way of avoiding dealing with my problems.,Nidhi,Tamas,High
70,I realized that drinking was my way of avoiding dealing with my problems.,Sunny,Sattva,Medium
71,It's isolating and frustrating to experience these emotions daily.,Apoorva,Tamas,High
71,It's isolating and frustrating to experience these emotions daily.,Nidhi,Tamas,High
71,It's isolating and frustrating to experience these emotions daily.,Sunny,Tamas,Medium
73,"I've been having intrusive thoughts about my past, and I can't seem to shake them off.",Apoorva,Tamas,High
73,"I've been having intrusive thoughts about my past, and I can't seem to shake them off.",Nidhi,Tamas,High
73,"I've been having intrusive thoughts about my past, and I can't seem to shake them off.",Sunny,Tamas,High
74,"Even mundane tasks become overwhelming, and it feels as though a heavy cloud is constantly hanging over me.",Apoorva,Tamas,High
74,"Even mundane tasks become overwhelming, and it feels as though a heavy cloud is constantly hanging over me.",Nidhi,Tamas,High
74,"Even mundane tasks become overwhelming, and it feels as though a heavy cloud is constantly hanging over me.",Sunny,Tamas,High
75,"Each day feels like a struggle to get out of bed, and I constantly question my worth and purpose in life.",Apoorva,Tamas,High
75,"Each day feels like a struggle to get out of bed, and I constantly question my worth and purpose in life.",Nidhi,Tamas,High
75,"Each day feels like a struggle to get out of bed, and I constantly question my worth and purpose in life.",Sunny,Tamas,High
78,I want to find healing from this trauma and reclaim control over my life.,Apoorva,Sattva,Low
78,I want to find healing from this trauma and reclaim control over my life.,Nidhi,Sattva,High
78,I want to find healing from this trauma and reclaim control over my life.,Sunny,Rajas,Low
80,I don't want to be one of those people who needs a drink to get through the day.,Apoorva,Sattva,Low
80,I don't want to be one of those people who needs a drink to get through the day.,Nidhi,Sattva,High
80,I don't want to be one of those people who needs a drink to get through the day.,Sunny,Sattva,High
85,"I've started cooking at home instead of getting takeout, and it's been nice.",Apoorva,Sattva,Medium
85,"I've started cooking at home instead of getting takeout, and it's been nice.",Nidhi,Sattva,High
85,"I've started cooking at home instead of getting takeout, and it's been nice.",Sunny,Sattva,High
86,"I want to believe I can change, but I've failed so many times before.",Apoorva,Sattva,Low
86,"I want to believe I can change, but I've failed so many times before.",Nidhi,Rajas,High
86,"I want to believe I can change, but I've failed so many times before.",Sunny,Rajas,Medium
88,"I constantly feel overwhelmed, exhausted, and on edge.",Apoorva,Tamas,High
88,"I constantly feel overwhelmed, exhausted, and on edge.",Nidhi,Tamas,High
88,"I constantly feel overwhelmed, exhausted, and on edge.",Sunny,Tamas,High
89,"Quitting smoking is the hardest thing I've ever done, but I'm still trying.",Apoorva,Sattva,High
89,"Quitting smoking is the hardest thing I've ever done, but I'm still trying.",Nidhi,Rajas,High
89,"Quitting smoking is the hardest thing I've ever done, but I'm still trying.",Sunny,Rajas,Low
92,I've been putting off making changes because I keep waiting for the perfect time.,Apoorva,Tamas,High
92,I've been putting off making changes because I keep waiting for the perfect time.,Nidhi,Tamas,High
92,I've been putting off making changes because I keep waiting for the perfect time.,Sunny,Rajas,Medium
93,"I've been feeling increasingly isolated, and I can't seem to connect with my colleagues or build meaningful relationships.",Apoorva,Tamas,High
93,"I've been feeling increasingly isolated, and I can't seem to connect with my colleagues or build meaningful relationships.",Nidhi,Tamas,High
93,"I've been feeling increasingly isolated, and I can't seem to connect with my colleagues or build meaningful relationships.",Sunny,Tamas,High
94,"I've started meditating for ten minutes every morning, and it's made a difference.",Apoorva,Sattva,High
94,"I've started meditating for ten minutes every morning, and it's made a difference.",Nidhi,Sattva,Medium
94,"I've started meditating for ten minutes every morning, and it's made a difference.",Sunny,Sattva,High
95,How can I break this cycle and promote reconciliation among family members?,Apoorva,Sattva,Low
95,How can I break this cycle and promote reconciliation among family members?,Nidhi,Rajas,High
95,How can I break this cycle and promote reconciliation among family members?,Sunny,Sattva,High
96,I don't know if I have what it takes to actually make this change.,Apoorva,Tamas,Medium
96,I don't know if I have what it takes to actually make this change.,Nidhi,Rajas,Medium
96,I don't know if I have what it takes to actually make this change.,Sunny,Tamas,Medium
97,"I've been sober for two weeks, and I'm sleeping better than I have in years.",Apoorva,Sattva,Medium
97,"I've been sober for two weeks, and I'm sleeping better than I have in years.",Nidhi,Rajas,High
97,"I've been sober for two weeks, and I'm sleeping better than I have in years.",Sunny,Sattva,Medium
98,I constantly worry about the future and catastrophize every situation.,Apoorva,Rajas,Medium
98,I constantly worry about the future and catastrophize every situation.,Nidhi,Tamas,High
98,I constantly worry about the future and catastrophize every situation.,Sunny,Tamas,Medium
100,I plan to focus on the present moment and practice mindfulness techniques to help me stay grounded and focused.,Apoorva,Sattva,High
100,I plan to focus on the present moment and practice mindfulness techniques to help me stay grounded and focused.,Nidhi,Rajas,High
100,I plan to focus on the present moment and practice mindfulness techniques to help me stay grounded and focused.,Sunny,Sattva,High
102,"My thoughts often turn negative, and it's hard to find motivation or energy to do anything.",Apoorva,Tamas,High
102,"My thoughts often turn negative, and it's hard to find motivation or energy to do anything.",Nidhi,Rajas,Low
102,"My thoughts often turn negative, and it's hard to find motivation or energy to do anything.",Sunny,Tamas,High
103,"I know all the reasons why I should change, but knowing isn't the same as doing.",Apoorva,Tamas,Medium
103,"I know all the reasons why I should change, but knowing isn't the same as doing.",Nidhi,Tamas,High
103,"I know all the reasons why I should change, but knowing isn't the same as doing.",Sunny,Tamas,Low
104,"My wife keeps nagging me about my drinking, but she doesn't understand how hard my job is.",Apoorva,Tamas,High
104,"My wife keeps nagging me about my drinking, but she doesn't understand how hard my job is.",Nidhi,Rajas,High
104,"My wife keeps nagging me about my drinking, but she doesn't understand how hard my job is.",Sunny,Tamas,Medium
105,"I finally told my family about my struggles, and their support means everything.",Apoorva,Sattva,Medium
105,"I finally told my family about my struggles, and their support means everything.",Nidhi,Rajas,Medium
105,"I finally told my family about my struggles, and their support means everything.",Sunny,Rajas,Low
106,"I want to lose weight, but I just can't seem to stick to any diet.",Apoorva,Tamas,High
106,"I want to lose weight, but I just can't seem to stick to any diet.",Nidhi,Rajas,Medium
106,"I want to lose weight, but I just can't seem to stick to any diet.",Sunny,Rajas,Medium
108,"I don't know if I have the energy to put into making friends, especially when I've failed at it so many times before.",Apoorva,Tamas,High
108,"I don't know if I have the energy to put into making friends, especially when I've failed at it so many times before.",Nidhi,Tamas,High
108,"I don't know if I have the energy to put into making friends, especially when I've failed at it so many times before.",Sunny,Tamas,Medium
109,The hardest part is the evenings when I'm alone and bored.,Apoorva,Tamas,Medium
109,The hardest part is the evenings when I'm alone and bored.,Nidhi,Tamas,High
109,The hardest part is the evenings when I'm alone and bored.,Sunny,Tamas,Medium
110,"I aspire to make our manual approachable, fostering a sense of comfort and ease.",Apoorva,Sattva,Medium
110,"I aspire to make our manual approachable, fostering a sense of comfort and ease.",Nidhi,Sattva,High
110,"I aspire to make our manual approachable, fostering a sense of comfort and ease.",Sunny,Sattva,Low
112,I don't want to get stuck in a routine where I'm only focused on caregiving and neglecting my own needs.,Apoorva,Tamas,High
112,I don't want to get stuck in a routine where I'm only focused on caregiving and neglecting my own needs.,Nidhi,Sattva,High
112,I don't want to get stuck in a routine where I'm only focused on caregiving and neglecting my own needs.,Sunny,Sattva,High
113,The effort required to fix these issues feels insurmountable.,Apoorva,Tamas,High
113,The effort required to fix these issues feels insurmountable.,Nidhi,Tamas,High
113,The effort required to fix these issues feels insurmountable.,Sunny,Tamas,Medium
114,"I can't seem to find any meaning or motivation in my routine, and it's leaving me feeling lost and disconnected.",Apoorva,Tamas,High
114,"I can't seem to find any meaning or motivation in my routine, and it's leaving me feeling lost and disconnected.",Nidhi,Tamas,High
114,"I can't seem to find any meaning or motivation in my routine, and it's leaving me feeling lost and disconnected.",Sunny,Tamas,High
115,I can't help but feel like I'm failing as a wife and mother when I can't provide him with a home-cooked meal.,Apoorva,Tamas,High
115,I can't help but feel like I'm failing as a wife and mother when I can't provide him with a home-cooked meal.,Nidhi,Tamas,High
115,I can't help but feel like I'm failing as a wife and mother when I can't provide him with a home-cooked meal.,Sunny,Tamas,High
116,"Deep down, I feel absolutely empty. It's as if all emotions have been drained from me, leaving behind an overwhelming sense of nothingness.",Apoorva,Tamas,High
116,"Deep down, I feel absolutely empty. It's as if all emotions have been drained from me, leaving behind an overwhelming sense of nothingness.",Nidhi,Tamas,High
116,"Deep down, I feel absolutely empty. It's as if all emotions have been drained from me, leaving behind an overwhelming sense of nothingness.",Sunny,Tamas,High
119,Even getting out of bed requires an immense effort.,Apoorva,Tamas,High
119,Even getting out of bed requires an immense effort.,Nidhi,Tamas,High
119,Even getting out of bed requires an immense effort.,Sunny,Tamas,High
120,I can't help but worry about my partner and how they're doing.,Apoorva,Tamas,Low
120,I can't help but worry about my partner and how they're doing.,Nidhi,Rajas,Medium
120,I can't help but worry about my partner and how they're doing.,Sunny,Rajas,High
122,I'm struggling to move on. It's been hard for me to let go of the relationship and accept that it's over.,Apoorva,Tamas,High
122,I'm struggling to move on. It's been hard for me to let go of the relationship and accept that it's over.,Nidhi,Tamas,High
122,I'm struggling to move on. It's been hard for me to let go of the relationship and accept that it's over.,Sunny,Tamas,High
123,"I constantly feel tired and drained, both physically and emotionally.",Apoorva,Tamas,High
123,"I constantly feel tired and drained, both physically and emotionally.",Nidhi,Tamas,High
123,"I constantly feel tired and drained, both physically and emotionally.",Sunny,Tamas,High
124,"I slipped up last weekend, but instead of giving up, I got back on track Monday.",Apoorva,Rajas,Low
124,"I slipped up last weekend, but instead of giving up, I got back on track Monday.",Nidhi,Rajas,High
124,"I slipped up last weekend, but instead of giving up, I got back on track Monday.",Sunny,Sattva,Medium
125,I hope to achieve a sense of calmness and control through this counseling session.,Apoorva,Sattva,Medium
125,I hope to achieve a sense of calmness and control through this counseling session.,Nidhi,Rajas,High
125,I hope to achieve a sense of calmness and control through this counseling session.,Sunny,Rajas,Medium
127,I'm taking it one day at a time. That's all I can do.,Apoorva,Sattva,Medium
127,I'm taking it one day at a time. That's all I can do.,Nidhi,Sattva,High
127,I'm taking it one day at a time. That's all I can do.,Sunny,Sattva,Medium
128,"I know I should quit smoking, but honestly, I'm not sure I really want to.",Apoorva,Tamas,High
128,"I know I should quit smoking, but honestly, I'm not sure I really want to.",Nidhi,Rajas,Low
128,"I know I should quit smoking, but honestly, I'm not sure I really want to.",Sunny,Tamas,High
129,I don't think I'm ready to quit completely. Maybe I can just cut back.,Apoorva,Tamas,Medium
129,I don't think I'm ready to quit completely. Maybe I can just cut back.,Nidhi,Rajas,Low
129,I don't think I'm ready to quit completely. Maybe I can just cut back.,Sunny,Tamas,High
133,I hope to gain a better understanding of why intimacy feels so scary for me and learn ways to overcome this fear.,Apoorva,Sattva,High
133,I hope to gain a better understanding of why intimacy feels so scary for me and learn ways to overcome this fear.,Nidhi,Sattva,High
133,I hope to gain a better understanding of why intimacy feels so scary for me and learn ways to overcome this fear.,Sunny,Sattva,Low
136,"I've cut down from a pack a day to just five cigarettes. That's progress, right?",Apoorva,Rajas,High
136,"I've cut down from a pack a day to just five cigarettes. That's progress, right?",Nidhi,Rajas,High
136,"I've cut down from a pack a day to just five cigarettes. That's progress, right?",Sunny,Rajas,Medium
137,I feel like I'm losing control.,Apoorva,Rajas,High
137,I feel like I'm losing control.,Nidhi,Tamas,High
137,I feel like I'm losing control.,Sunny,Tamas,High
138,"I've always been a go-getter, and I take pride in my ability to adapt to new environments quickly.",Apoorva,Rajas,High
138,"I've always been a go-getter, and I take pride in my ability to adapt to new environments quickly.",Nidhi,Rajas,High
138,"I've always been a go-getter, and I take pride in my ability to adapt to new environments quickly.",Sunny,Rajas,High
139,"The fear of making the wrong choice consumed me, leading to sleepless nights and constant second-guessing.",Apoorva,Tamas,High
139,"The fear of making the wrong choice consumed me, leading to sleepless nights and constant second-guessing.",Nidhi,Tamas,Low
139,"The fear of making the wrong choice consumed me, leading to sleepless nights and constant second-guessing.",Sunny,Tamas,High
140,"I've always been the one to take care of everyone else, and I don't want to be a burden.",Apoorva,Rajas,High
140,"I've always been the one to take care of everyone else, and I don't want to be a burden.",Nidhi,Rajas,High
140,"I've always been the one to take care of everyone else, and I don't want to be a burden.",Sunny,Rajas,Medium
142,"Thoughts about meeting unreasonable deadlines, making mistakes, and receiving criticism consume me throughout the day.",Apoorva,Tamas,High
142,"Thoughts about meeting unreasonable deadlines, making mistakes, and receiving criticism consume me throughout the day.",Nidhi,Tamas,High
142,"Thoughts about meeting unreasonable deadlines, making mistakes, and receiving criticism consume me throughout the day.",Sunny,Tamas,High
144,I'm deeply concerned that my grief will prevent me from returning to work soon.,Apoorva,Tamas,High
144,I'm deeply concerned that my grief will prevent me from returning to work soon.,Nidhi,Tamas,High
144,I'm deeply concerned that my grief will prevent me from returning to work soon.,Sunny,Tamas,High
145,I find it challenging to let people get close to me emotionally.,Apoorva,Rajas,High
145,I find it challenging to let people get close to me emotionally.,Nidhi,Tamas,Low
145,I find it challenging to let people get close to me emotionally.,Sunny,Sattva,Medium
146,"I've noticed that when I exercise in the morning, I feel more focused throughout the day.",Apoorva,Sattva,High
146,"I've noticed that when I exercise in the morning, I feel more focused throughout the day.",Nidhi,Sattva,High
146,"I've noticed that when I exercise in the morning, I feel more focused throughout the day.",Sunny,Sattva,Medium
147,"Some days I feel really motivated, and other days I just think, why bother?",Apoorva,Rajas,High
147,"Some days I feel really motivated, and other days I just think, why bother?",Nidhi,Rajas,High
147,"Some days I feel really motivated, and other days I just think, why bother?",Sunny,Rajas,High
148,"I've been clean for six months now. It hasn't been easy, but I'm proud of myself.",Apoorva,Sattva,Low
148,"I've been clean for six months now. It hasn't been easy, but I'm proud of myself.",Nidhi,Rajas,High
148,"I've been clean for six months now. It hasn't been easy, but I'm proud of myself.",Sunny,Rajas,High
149,"When I get stressed, I just automatically reach for a cigarette. I don't even think about it.",Apoorva,Tamas,High
149,"When I get stressed, I just automatically reach for a cigarette. I don't even think about it.",Nidhi,Tamas,High
149,"When I get stressed, I just automatically reach for a cigarette. I don't even think about it.",Sunny,Tamas,High
150,Everything feels dull and meaningless.,Apoorva,Tamas,High
150,Everything feels dull and meaningless.,Nidhi,Tamas,High
150,Everything feels dull and meaningless.,Sunny,Tamas,High
