Sentence_ID,Text,Guna_Majority,vader_compound,vader_pos,vader_neg,vader_neu
106,"I want to lose weight, but I just can't seem to stick to any diet.",Rajas,-0.1779,0.072,0.116,0.812
108,"I don't know if I have the energy to put into making friends, especially when I've failed at it so many times before.",Tamas,0.1621,0.181,0.124,0.695
109,The hardest part is the evenings when I'm alone and bored.,Tamas,-0.4767,0.0,0.313,0.687
110,"I aspire to make our manual approachable, fostering a sense of comfort and ease.",Sattva,0.6124,0.294,0.0,0.706
112,I don't want to get stuck in a routine where I'm only focused on caregiving and neglecting my own needs.,Sattva,-0.323,0.106,0.241,0.652
113,The effort required to fix these issues feels insurmountable.,Tamas,0.0,0.0,0.0,1.0
114,"I can't seem to find any meaning or motivation in my routine, and it's leaving me feeling lost and disconnected.",Tamas,0.1531,0.168,0.099,0.733
115,I can't help but feel like I'm failing as a wife and mother when I can't provide him with a home-cooked meal.,Tamas,-0.427,0.115,0.215,0.671
116,"Deep down, I feel absolutely empty. It's as if all emotions have been drained from me, leaving behind an overwhelming sense of nothingness.",Tamas,-0.5563,0.0,0.179,0.821
119,Even getting out of bed requires an immense effort.,Tamas,0.0,0.0,0.0,1.0
120,I can't help but worry about my partner and how they're doing.,Rajas,0.357,0.211,0.111,0.679
122,I'm struggling to move on. It's been hard for me to let go of the relationship and accept that it's over.,Tamas,-0.1531,0.105,0.169,0.726
123,"I constantly feel tired and drained, both physically and emotionally.",Tamas,-0.6597,0.0,0.403,0.597
124,"I slipped up last weekend, but instead of giving up, I got back on track Monday.",Rajas,0.4767,0.171,0.0,0.829
125,I hope to achieve a sense of calmness and control through this counseling session.,Rajas,0.6808,0.318,0.0,0.682
127,I'm taking it one day at a time. That's all I can do.,Sattva,0.0,0.0,0.0,1.0
128,"I know I should quit smoking, but honestly, I'm not sure I really want to.",Tamas,0.5341,0.29,0.12,0.59
129,I don't think I'm ready to quit completely. Maybe I can just cut back.,Tamas,-0.4956,0.0,0.26,0.74
133,I hope to gain a better understanding of why intimacy feels so scary for me and learn ways to overcome this fear.,Sattva,0.0859,0.27,0.231,0.499
136,"I've cut down from a pack a day to just five cigarettes. That's progress, right?",Rajas,0.1779,0.156,0.117,0.726
137,I feel like I'm losing control.,Tamas,-0.0258,0.275,0.286,0.44
138,"I've always been a go-getter, and I take pride in my ability to adapt to new environments quickly.",Rajas,0.5719,0.227,0.0,0.773
139,"The fear of making the wrong choice consumed me, leading to sleepless nights and constant second-guessing.",Tamas,-0.743,0.0,0.31,0.69
140,"I've always been the one to take care of everyone else, and I don't want to be a burden.",Rajas,0.0201,0.137,0.177,0.686
142,"Thoughts about meeting unreasonable deadlines, making mistakes, and receiving criticism consume me throughout the day.",Tamas,-0.6597,0.0,0.293,0.707
144,I'm deeply concerned that my grief will prevent me from returning to work soon.,Tamas,-0.4767,0.067,0.196,0.736
145,I find it challenging to let people get close to me emotionally.,Rajas,0.1531,0.127,0.0,0.873
146,"I've noticed that when I exercise in the morning, I feel more focused throughout the day.",Sattva,0.4391,0.162,0.0,0.838
147,"Some days I feel really motivated, and other days I just think, why bother?",Rajas,0.2247,0.186,0.136,0.678
148,"I've been clean for six months now. It hasn't been easy, but I'm proud of myself.",Rajas,0.6482,0.29,0.082,0.628
149,"When I get stressed, I just automatically reach for a cigarette. I don't even think about it.",Tamas,-0.3182,0.059,0.13,0.811
150,Everything feels dull and meaningless.,Tamas,-0.6808,0.0,0.651,0.349
